# MAT   PARENT_ZA   TEMPERATURE   MOLECULAR_FACTOR
53      13027       293.6         1.0
56      26056       293.6         1.0
26      4009        296.0         1.0
27      4009        293.6         1.0
44      6012        300.0         1.0
11      1002        293.6         0.5
39      1001        300.0         0.125
37      1001        293.6         0.5
1       1001        293.6         0.5
10      1001        273.15        0.5
5       1001        293.6         0.5
7       1001        296.0         1.0
71      7014        296.0         1.0
46      8016        293.6         1.0
51      8016        293.6         1.0
50      8016        273.15        1.0
75      8016        296.0         0.5
47      8016        293.6         0.5
47      14028       293.6         1.0
49      8016        1000.0        0.5
49      14028       1000.0        1.0
43      14028       300.0         1.0
72      92238       296.0         1.0
48      92238       296.0         1.0
55      39089       293.6         1.0
58      40090       296.0         1.0
40      6012        296.0         0.03171390013495277
40      1001        296.0         0.1349527665317139
30      6012        296.0         1.0
33      1001        100.0         0.25
33      6012        100.0         1.0
13      1002        19.0          0.5
3       1001        20.0          0.5
12      1002        19.0          0.5
2       1001        20.0          0.5
31      6012        296.0         1.0
32      6012        296.0         1.0
34      6012        22.0          1.0
34      1001        22.0          0.25
